age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score)
17, Private,94492, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,19, United-States,,
38, Private,117802, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,60, United-States,,
50, Private,274528, HS-grad,9, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States,,
38, Private,22463, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,45, United-States,,
53, Self-emp-inc,197189, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States,,
20, Private,420973, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States,,
27, Private,247102, 10th,6, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,,
37, Private,356231, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,2129,65, United-States,,
23, Private,250918, Some-college,10, Never-married, Other-service, Not-in-family, Black, Male,0,0,30, United-States,,
42, Private,99373, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,,
42, Private,89226, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,7688,0,40, Greece,,
36, Private,298635, Bachelors,13, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Iran,,
21, Private,220857, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,,
24, Private,88824, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,,
46, Private,165937, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
45, Private,207955, 5th-6th,3, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,0,40, Ecuador,,
55, Federal-gov,107157, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,,
46, Self-emp-not-inc,102388, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,,
37, Private,127048, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,,
54, Private,320012, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,,
55, Self-emp-inc,103948, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,,
19, Private,327079, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,,
40, Private,249039, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
46, Private,114328, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
23, Private,206827, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,,
22, Private,137320, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States,,
52, Local-gov,149508, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,,
24, Local-gov,137300, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States,,
39, Self-emp-inc,170502, Masters,14, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,70, United-States,,
69, Self-emp-not-inc,118174, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,20051,0,15, United-States,,
23, Private,113511, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States,,
41, Private,121012, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,,
19, State-gov,136848, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, United-States,,
47, Private,177087, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,2444,50, United-States,,
21, Private,139722, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico,,
41, Local-gov,120277, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,,
60, Private,216574, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
61, Private,111563, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,27, United-States,,
40, Private,202922, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
40, Private,293485, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,32, United-States,,
36, Private,359001, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,,
32, Private,127895, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States,,
44, Private,346081, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,,
37, Federal-gov,239409, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,,
24, Private,236907, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,55, United-States,,
43, Self-emp-not-inc,220647, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2377,50, United-States,,
29, Private,116531, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,,
42, Federal-gov,236503, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
32, Private,206609, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,,
24, Private,206891, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
37, Private,121228, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,1726,50, United-States,,
33, Private,227325, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White, Male,0,0,60, Scotland,,
48, Private,162187, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States,,
27, Private,181291, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Italy,,
41, Private,202565, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
24, Private,201799, Bachelors,13, Never-married, Transport-moving, Own-child, White, Female,0,0,84, United-States,,
40, Private,158275, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,625,40, United-States,,
30, Private,178952, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,,
66, Private,123484, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,,
26, Private,248220, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
42, Self-emp-inc,202466, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,45, United-States,,
27, Self-emp-not-inc,226976, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,,
72, Private,249559, HS-grad,9, Widowed, Priv-house-serv, Not-in-family, White, Female,0,0,25, United-States,,
57, State-gov,388225, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
32, Private,19447, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,,
24, Private,302195, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States,,
46, Private,86709, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States,,
41, Private,172712, Bachelors,13, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,,
17, Private,284277, 11th,7, Never-married, Other-service, Own-child, White, Male,1055,0,20, United-States,,
25, Local-gov,315287, Some-college,10, Never-married, Protective-serv, Other-relative, Black, Male,0,0,40, Trinadad&Tobago,,
52, Private,236222, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
27, Private,311446, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, Germany,,
29, Private,42881, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,,
32, Private,226443, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
25, Private,139863, 1st-4th,2, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Mexico,,
38, Private,365907, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,,
22, Private,335067, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,20, United-States,,
20, Self-emp-inc,266400, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States,,
23, Private,215251, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,55, United-States,,
64, Self-emp-not-inc,46366, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States,,
30, Private,196963, Assoc-acdm,12, Never-married, Tech-support, Own-child, White, Female,0,0,15, United-States,,
44, Private,103980, Some-college,10, Divorced, Prof-specialty, Own-child, White, Male,3325,0,35, United-States,,
18, Private,113814, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States,,
42, Private,210857, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States,,
49, Private,366089, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
19, Private,340094, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,,
20, Private,200967, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States,,
56, Private,116878, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Portugal,,
20, Private,126038, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,,
19, Private,105460, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States,,
33, Private,127651, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,8614,0,40, United-States,,
31, Private,182699, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,,
26, Local-gov,143583, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,,
43, Private,236936, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,47, United-States,,
24, Self-emp-not-inc,240160, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States,,
53, Private,175029, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
27, Private,162104, 7th-8th,4, Never-married, Priv-house-serv, Own-child, White, Female,0,0,30, United-States,,
64, Self-emp-not-inc,144391, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,,
62, Private,142769, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,,
46, Private,275792, Bachelors,13, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States,,
48, Private,242406, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Dominican-Republic,,
54, Private,204304, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
24, Private,117606, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States,,
19, Private,146189, HS-grad,9, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,78, United-States,,
19, Private,305834, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,,
43, Self-emp-inc,170214, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,75, United-States,,
25, Private,116044, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,,
31, Private,178615, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
45, Private,114774, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,2258,55, United-States,,
25, Private,87487, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, United-States,,
54, Local-gov,217210, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,1887,38, United-States,,
37, Private,109996, 9th,5, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Hong,,
66, Self-emp-not-inc,37170, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,,
43, Private,169076, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States,,
30, Private,85374, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States,,
19, Private,96866, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,30, United-States,,
29, Private,244721, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,,
22, Private,177526, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,2907,0,30, United-States,,
44, Private,172837, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,52, United-States,,
18, Private,111019, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States,,
60, Private,334984, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,2231,40, United-States,,
35, Private,105821, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,36, United-States,,
55, Federal-gov,36314, 7th-8th,4, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,72, United-States,,
47, Local-gov,398397, Masters,14, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,,
38, Private,219446, 9th,5, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,54, Mexico,,
19, Private,263568, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,594,0,35, United-States,,
51, Private,152652, 11th,7, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,,
30, Private,178835, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States,,
41, Private,338740, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,,
39, Private,497788, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,,
52, Private,224198, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,51, United-States,,
24, Private,284317, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States,,
46, Local-gov,216647, 10th,6, Divorced, Protective-serv, Unmarried, White, Female,0,0,20, United-States,,
23, Private,131230, Bachelors,13, Never-married, Protective-serv, Own-child, White, Male,0,0,50, United-States,,
29, Private,255187, Some-college,10, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States,,
49, Private,186256, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,30, United-States,,
24, Private,228649, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,,
24, Private,99844, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,60, United-States,,
52, Private,102444, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
50, Private,194995, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,,
65, Private,399296, 5th-6th,3, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,20, Mexico,,
18, Private,83451, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States,,
27, Private,299536, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,55, United-States,,
27, State-gov,122540, Some-college,10, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States,,
31, Private,144990, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States,,
32, Self-emp-not-inc,360689, 11th,7, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,,
36, Private,238802, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States,,
57, Private,124771, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,40, United-States,,
28, Private,30014, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
42, Self-emp-not-inc,40024, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,66, United-States,,
35, Private,85799, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,,
49, Private,191389, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,,
40, Private,228659, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States,,
23, Private,265148, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,55, United-States,,
26, Private,206721, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,50, United-States,,
46, Federal-gov,362835, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Germany,,
21, Private,447488, 5th-6th,3, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,38, Mexico,,
41, Private,304605, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,,
52, Self-emp-inc,230919, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,,
52, Federal-gov,157454, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,,
19, Private,186717, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,,
26, Private,174267, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,64, United-States,,
60, Private,304074, Some-college,10, Widowed, Transport-moving, Not-in-family, White, Male,0,0,28, United-States,,
43, Private,248094, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,44, United-States,,
38, Local-gov,187046, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,,
42, Private,262243, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,,
40, Private,117523, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Columbia,,
32, Private,176185, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,4787,0,40, United-States,,
40, Private,170482, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,14344,0,45, United-States,,
23, Private,345734, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,,
18, Private,473449, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,,
36, Private,213277, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,,
63, Private,76286, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, India,,
34, Private,247328, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States,,
42, Private,136986, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,50, United-States,,
34, Private,617917, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States,,
34, Private,195890, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,,
44, Private,77373, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,,
23, Private,287988, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States,,
21, Private,287681, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico,,
34, State-gov,49325, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,,
45, Private,216414, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,50, United-States,,
37, Self-emp-not-inc,216473, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States,,
24, Private,155066, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,,
28, Private,205903, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
29, Private,101108, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,15, United-States,,
42, Private,228320, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,5178,0,45, United-States,,
32, Private,426431, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States,,
23, Private,114939, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,38, United-States,,
36, Private,238342, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,,
32, State-gov,113129, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States,,
33, Private,172584, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1590,50, United-States,,
35, Private,228881, HS-grad,9, Never-married, Craft-repair, Other-relative, Other, Male,0,0,40, Puerto-Rico,,
26, Private,121427, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States,,
59, Private,153484, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
38, Private,191455, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,10, United-States,,
28, Private,159623, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,,
69, Self-emp-not-inc,199829, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1258,40, United-States,,
25, State-gov,81993, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,46, United-States,,
39, Private,85566, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
68, Self-emp-not-inc,335701, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States,,
24, Private,237262, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,,
48, Private,193451, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,,
51, Private,63081, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,,
34, Private,140011, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States,,
34, Self-emp-not-inc,180607, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,45, United-States,,
34, Self-emp-not-inc,196512, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,2472,35, United-States,,
39, Private,421633, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,,
66, Private,95644, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
55, Self-emp-not-inc,150917, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States,,
48, Self-emp-inc,196689, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,,
21, Private,172047, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,20, United-States,,
49, Private,219751, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,,
21, Private,249271, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,,
19, Private,298435, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,2001,40, Cuba,,
28, Local-gov,194759, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,1669,90, United-States,,
47, Private,149366, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Peru,,
24, Private,433580, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
26, Private,195693, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Jamaica,,
65, Private,155632, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, United-States,,
62, Federal-gov,162876, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
41, Private,182217, Some-college,10, Divorced, Tech-support, Unmarried, White, Female,0,0,30, United-States,,
25, Private,105520, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,,
26, Private,138537, 11th,7, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States,,
35, Private,162302, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,32, United-States,,
25, Private,81286, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,2174,0,40, United-States,,
27, Private,106562, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,,
72, Private,163921, Some-college,10, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,20, United-States,,
41, Private,319271, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,,
